"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1029","","Loan V2 Tests","Thu Oct 30 07:07:36 UTC 2025","passed","Thu Oct 30 07:07:37 UTC 2025","Loan Register Report","For System Testing","",""
"","651","Go to google","Chrome","Thu Oct 30 07:07:35 UTC 2025","passed","Thu Oct 30 07:07:36 UTC 2025","","example.spec.ts","",""
"","4141","Go to google","Webkit","Thu Oct 30 07:07:42 UTC 2025","passed","Thu Oct 30 07:07:46 UTC 2025","","example.spec.ts","",""
"","1751","","Loan V2 Tests","Thu Oct 30 07:07:47 UTC 2025","passed","Thu Oct 30 07:07:49 UTC 2025","Loan Register Report","For System Testing","",""
"","1194","","Loan V2 Tests","Thu Oct 30 07:07:40 UTC 2025","passed","Thu Oct 30 07:07:41 UTC 2025","Loan Register Report","For System Testing","",""
"","1428","Go to google","Firefox","Thu Oct 30 07:07:38 UTC 2025","passed","Thu Oct 30 07:07:40 UTC 2025","","example.spec.ts","",""
